constructorId,url,name,nationality,year
adams,http://en.wikipedia.org/wiki/Adams_(constructor),Adams,American,1950
alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss,1950
alta,http://en.wikipedia.org/wiki/Alta_auto_racing_team,Alta,British,1950
cooper,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper,British,1950
deidt,http://en.wikipedia.org/wiki/Deidt,Deidt,American,1950
era,http://en.wikipedia.org/wiki/English_Racing_Automobiles,ERA,British,1950
ewing,http://en.wikipedia.org/wiki/Ewing_(constructor),Ewing,American,1950
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1950
kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American,1950
langley,http://en.wikipedia.org/wiki/Langley_(constructor),Langley,American,1950
lesovsky,http://en.wikipedia.org/wiki/Lesovsky,Lesovsky,American,1950
marchese,http://en.wikipedia.org/wiki/Marchese_(constructor),Marchese,American,1950
maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian,1950
milano,http://en.wikipedia.org/wiki/Scuderia_Milano,Milano,Italian,1950
moore,http://en.wikipedia.org/wiki/Moore_(constructor),Moore,American,1950
nichels,http://en.wikipedia.org/wiki/Nichels,Nichels,American,1950
olson,http://en.wikipedia.org/wiki/Olson_(constructor),Olson,American,1950
rae,http://en.wikipedia.org/wiki/Rae_(motorsport),Rae,American,1950
simca,http://en.wikipedia.org/wiki/Simca,Simca,French,1950
snowberger,http://en.wikipedia.org/wiki/Snowberger,Snowberger,American,1950
stevens,http://en.wikipedia.org/wiki/Stevens_(constructor),Stevens,American,1950
lago,http://en.wikipedia.org/wiki/Talbot-Lago,Talbot-Lago,French,1950
watson,http://en.wikipedia.org/wiki/A.J._Watson,Watson,American,1950
wetteroth,http://en.wikipedia.org/wiki/Wetteroth,Wetteroth,American,1950
alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss,1951
alta,http://en.wikipedia.org/wiki/Alta_auto_racing_team,Alta,British,1951
brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1951
bromme,http://en.wikipedia.org/wiki/Bromme,Bromme,American,1951
deidt,http://en.wikipedia.org/wiki/Deidt,Deidt,American,1951
era,http://en.wikipedia.org/wiki/English_Racing_Automobiles,ERA,British,1951
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1951
hall,http://en.wikipedia.org/wiki/Hall_(constructor),Hall,American,1951
hwm,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors,HWM,British,1951
kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American,1951
kuzma,http://en.wikipedia.org/wiki/Kuzma_(constructor),Kuzma,American,1951
lesovsky,http://en.wikipedia.org/wiki/Lesovsky,Lesovsky,American,1951
marchese,http://en.wikipedia.org/wiki/Marchese_(constructor),Marchese,American,1951
maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian,1951
moore,http://en.wikipedia.org/wiki/Moore_(constructor),Moore,American,1951
osca,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili,OSCA,Italian,1951
pawl,http://en.wikipedia.org/wiki/Pawl_(constructor),Pawl,American,1951
schroeder,http://en.wikipedia.org/wiki/Schroeder_(constructor),Schroeder,American,1951
sherman,http://en.wikipedia.org/wiki/Sherman_(constructor),Sherman,American,1951
simca,http://en.wikipedia.org/wiki/Simca,Simca,French,1951
lago,http://en.wikipedia.org/wiki/Talbot-Lago,Talbot-Lago,French,1951
trevis,http://en.wikipedia.org/wiki/Trevis,Trevis,American,1951
veritas,http://en.wikipedia.org/wiki/Veritas_(constructor),Veritas,German,1951
watson,http://en.wikipedia.org/wiki/A.J._Watson,Watson,American,1951
afm,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau,AFM,German,1952
alta,http://en.wikipedia.org/wiki/Alta_auto_racing_team,Alta,British,1952
