driverId,url,givenName,familyName,dateOfBirth,nationality,year,code,permanentNumber
ader,http://en.wikipedia.org/wiki/Walt_Ader,Walt,Ader,1913-12-15,American,1950,,
agabashian,http://en.wikipedia.org/wiki/Fred_Agabashian,Fred,Agabashian,1913-08-21,American,1950,,
ascari,http://en.wikipedia.org/wiki/Alberto_Ascari,Alberto,Ascari,1918-07-13,Italian,1950,,
banks,http://en.wikipedia.org/wiki/Henry_Banks,Henry,Banks,1913-06-14,American,1950,,
bettenhausen,http://en.wikipedia.org/wiki/Tony_Bettenhausen,Tony,Bettenhausen,1916-09-12,American,1950,,
biondetti,http://en.wikipedia.org/wiki/Clemente_Biondetti,Clemente,Biondetti,1898-08-18,Italian,1950,,
bira,http://en.wikipedia.org/wiki/Prince_Bira,Prince,Bira,1914-07-15,Thai,1950,,
bonetto,http://en.wikipedia.org/wiki/Felice_Bonetto,Felice,Bonetto,1903-06-09,Italian,1950,,
branca,http://en.wikipedia.org/wiki/Toni_Branca,Toni,Branca,1916-09-15,Swiss,1950,,
walt_brown,http://en.wikipedia.org/wiki/Walt_Brown_(auto_racer),Walt,Brown,1911-12-30,American,1950,,
cabantous,http://en.wikipedia.org/wiki/Yves_Giraud_Cabantous,Yves,Cabantous,1904-10-08,French,1950,,
cantrell,http://en.wikipedia.org/wiki/William_Cantrell,Bill,Cantrell,1908-01-31,American,1950,,
darter,http://en.wikipedia.org/wiki/Duane_Carter,Duane,Carter,1913-05-05,American,1950,,
chaboud,http://en.wikipedia.org/wiki/Eug%C3%A8ne_Chaboud,Eugène,Chaboud,1907-04-12,French,1950,,
chiron,http://en.wikipedia.org/wiki/Louis_Chiron,Louis,Chiron,1899-08-03,Monegasque,1950,,
chitwood,http://en.wikipedia.org/wiki/Joie_Chitwood,Joie,Chitwood,1912-04-14,American,1950,,
claes,http://en.wikipedia.org/wiki/Johnny_Claes,Johnny,Claes,1916-08-11,Belgian,1950,,
comotti,http://en.wikipedia.org/wiki/Franco_Comotti,Franco,Comotti,1906-07-24,Italian,1950,,
george_connor,http://en.wikipedia.org/wiki/George_Connor_(driver),George,Connor,1906-08-16,American,1950,,
crossley,http://en.wikipedia.org/wiki/Geoff_Crossley,Geoff,Crossley,1921-05-11,British,1950,,
davies,http://en.wikipedia.org/wiki/Jimmy_Davies,Jimmy,Davies,1929-08-08,American,1950,,
graffenried,http://en.wikipedia.org/wiki/Toulo_de_Graffenried,Toulo,de Graffenried,1914-05-18,Swiss,1950,,
dinsmore,http://en.wikipedia.org/wiki/Duke_Dinsmore,Duke,Dinsmore,1913-04-10,American,1950,,
etancelin,http://en.wikipedia.org/wiki/Philippe_%C3%89tancelin,Philippe,Étancelin,1896-12-28,French,1950,,
fagioli,http://en.wikipedia.org/wiki/Luigi_Fagioli,Luigi,Fagioli,1898-06-09,Italian,1950,,
fangio,http://en.wikipedia.org/wiki/Juan_Manuel_Fangio,Juan,Fangio,1911-06-24,Argentine,1950,,
farina,http://en.wikipedia.org/wiki/Nino_Farina,Nino,Farina,1906-10-30,Italian,1950,,
faulkner,http://en.wikipedia.org/wiki/Walt_Faulkner,Walt,Faulkner,1920-02-16,American,1950,,
flaherty,http://en.wikipedia.org/wiki/Pat_Flaherty_(racing_driver),Pat,Flaherty,1926-01-06,American,1950,,
fohr,http://en.wikipedia.org/wiki/Myron_Fohr,Myron,Fohr,1912-06-17,American,1950,,
fry,http://en.wikipedia.org/wiki/Joe_Fry,Joe,Fry,1915-10-26,British,1950,,
gerard,http://en.wikipedia.org/wiki/Bob_Gerard,Bob,Gerard,1914-01-19,British,1950,,
gonzalez,http://en.wikipedia.org/wiki/Jos%C3%A9_Froil%C3%A1n_Gonz%C3%A1lez,José Froilán,González,1922-10-05,Argentine,1950,,
green,http://en.wikipedia.org/wiki/Cecil_Green,Cecil,Green,1919-09-30,American,1950,,
hampshire,http://en.wikipedia.org/wiki/David_Hampshire,David,Hampshire,1917-12-29,British,1950,,
hanks,http://en.wikipedia.org/wiki/Sam_Hanks,Sam,Hanks,1914-07-13,American,1950,,
harrison,http://en.wikipedia.org/wiki/Cuth_Harrison,Cuth,Harrison,1906-07-06,British,1950,,
hartley,http://en.wikipedia.org/wiki/Gene_Hartley,Gene,Hartley,1926-01-28,American,1950,,
hellings,http://en.wikipedia.org/wiki/Mack_Hellings,Mack,Hellings,1915-09-14,American,1950,,
holland,http://en.wikipedia.org/wiki/Bill_Holland,Bill,Holland,1907-12-18,American,1950,,
holmes,http://en.wikipedia.org/wiki/Jackie_Holmes,Jackie,Holmes,1920-09-04,American,1950,,
hoyt,http://en.wikipedia.org/wiki/Jerry_Hoyt,Jerry,Hoyt,1929-01-29,American,1950,,
jackson,http://en.wikipedia.org/wiki/Jimmy_Jackson_(driver),Jimmy,Jackson,1910-07-25,American,1950,,
leslie_johnson,http://en.wikipedia.org/wiki/Leslie_Johnson_(racing_driver),Leslie,Johnson,1912-03-22,British,1950,,
kelly,http://en.wikipedia.org/wiki/Joe_Kelly_(Formula_One),Joe,Kelly,1913-03-13,Irish,1950,,
levegh,http://en.wikipedia.org/wiki/Pierre_Levegh,Pierre,Levegh,1905-12-22,French,1950,,
levrett,http://en.wikipedia.org/wiki/Bayliss_Levrett,Bayliss,Levrett,1914-02-14,American,1950,,
louveau,http://en.wikipedia.org/wiki/Henri_Louveau,Henri,Louveau,1910-01-25,French,1950,,
guy_mairesse,http://en.wikipedia.org/wiki/Guy_Mairesse,Guy,Mairesse,1910-08-10,French,1950,,
manzon,http://en.wikipedia.org/wiki/Robert_Manzon,Robert,Manzon,1917-04-12,French,1950,,
martin,http://en.wikipedia.org/wiki/Eug%C3%A8ne_Martin,Eugène,Martin,1915-03-24,French,1950,,
mcdowell,http://en.wikipedia.org/wiki/Johnny_McDowell,Johnny,McDowell,1915-01-29,American,1950,,
mcgrath,http://en.wikipedia.org/wiki/Jack_McGrath_(racing_driver),Jack,McGrath,1919-10-08,American,1950,,
murray,http://en.wikipedia.org/wiki/David_Murray_(driver),David,Murray,1909-12-28,British,1950,,
pagani,http://en.wikipedia.org/wiki/Nello_Pagani,Nello,Pagani,1911-10-11,Italian,1950,,
reg_parnell,http://en.wikipedia.org/wiki/Reg_Parnell,Reg,Parnell,1911-07-02,British,1950,,
parsons,http://en.wikipedia.org/wiki/Johnnie_Parsons,Johnnie,Parsons,1918-07-04,American,1950,,
pian,http://en.wikipedia.org/wiki/Alfredo_Pi%C3%A0n,Alfredo,Pián,1912-10-21,Argentine,1950,,
pietsch,http://en.wikipedia.org/wiki/Paul_Pietsch,Paul,Pietsch,1911-06-20,German,1950,,
pozzi,http://en.wikipedia.org/wiki/Charles_Pozzi,Charles,Pozzi,1909-08-27,French,1950,,
rathmann,http://en.wikipedia.org/wiki/Jim_Rathmann,Jim,Rathmann,1928-07-16,American,1950,,
