season,round,url,raceName,date,Circuit.circuitId,Circuit.url,Circuit.circuitName,Circuit.Location.lat,Circuit.Location.long,Circuit.Location.locality,Circuit.Location.country,time,FirstPractice.date,SecondPractice.date,ThirdPractice.date,Qualifying.date,Sprint.date,FirstPractice.time,SecondPractice.time,ThirdPractice.time,Qualifying.time,Sprint.time
1950,1,http://en.wikipedia.org/wiki/1950_British_Grand_Prix,British Grand Prix,1950-05-13,silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,,,,,,,,,,,
1950,2,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix,Monaco Grand Prix,1950-05-21,monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,,,,,,,,,,,
1950,3,http://en.wikipedia.org/wiki/1950_Indianapolis_500,Indianapolis 500,1950-05-30,indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,Indianapolis Motor Speedway,39.795,-86.2347,Indianapolis,USA,,,,,,,,,,,
1950,4,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,Swiss Grand Prix,1950-06-04,bremgarten,http://en.wikipedia.org/wiki/Circuit_Bremgarten,Circuit Bremgarten,46.9589,7.40194,Bern,Switzerland,,,,,,,,,,,
1950,5,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,Belgian Grand Prix,1950-06-18,spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,,,,,,,,,,,
1950,6,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,French Grand Prix,1950-07-02,reims,http://en.wikipedia.org/wiki/Reims-Gueux,Reims-Gueux,49.2542,3.93083,Reims,France,,,,,,,,,,,
1950,7,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,Italian Grand Prix,1950-09-03,monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,,,,,,,,,,,
1951,1,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,Swiss Grand Prix,1951-05-27,bremgarten,http://en.wikipedia.org/wiki/Circuit_Bremgarten,Circuit Bremgarten,46.9589,7.40194,Bern,Switzerland,,,,,,,,,,,
1951,2,http://en.wikipedia.org/wiki/1951_Indianapolis_500,Indianapolis 500,1951-05-30,indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,Indianapolis Motor Speedway,39.795,-86.2347,Indianapolis,USA,,,,,,,,,,,
1951,3,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,Belgian Grand Prix,1951-06-17,spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,,,,,,,,,,,
1951,4,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,French Grand Prix,1951-07-01,reims,http://en.wikipedia.org/wiki/Reims-Gueux,Reims-Gueux,49.2542,3.93083,Reims,France,,,,,,,,,,,
1951,5,http://en.wikipedia.org/wiki/1951_British_Grand_Prix,British Grand Prix,1951-07-14,silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,,,,,,,,,,,
1951,6,http://en.wikipedia.org/wiki/1951_German_Grand_Prix,German Grand Prix,1951-07-29,nurburgring,http://en.wikipedia.org/wiki/N%C3%BCrburgring,Nürburgring,50.3356,6.9475,Nürburg,Germany,,,,,,,,,,,
1951,7,http://en.wikipedia.org/wiki/1951_Italian_Grand_Prix,Italian Grand Prix,1951-09-16,monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,,,,,,,,,,,
1951,8,http://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix,Spanish Grand Prix,1951-10-28,pedralbes,http://en.wikipedia.org/wiki/Pedralbes_Circuit,Circuit de Pedralbes,41.3903,2.11667,Barcelona,Spain,,,,,,,,,,,
1952,1,http://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix,Swiss Grand Prix,1952-05-18,bremgarten,http://en.wikipedia.org/wiki/Circuit_Bremgarten,Circuit Bremgarten,46.9589,7.40194,Bern,Switzerland,,,,,,,,,,,
1952,2,http://en.wikipedia.org/wiki/1952_Indianapolis_500,Indianapolis 500,1952-05-30,indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,Indianapolis Motor Speedway,39.795,-86.2347,Indianapolis,USA,,,,,,,,,,,
1952,3,http://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix,Belgian Grand Prix,1952-06-22,spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,,,,,,,,,,,
1952,4,http://en.wikipedia.org/wiki/1952_French_Grand_Prix,French Grand Prix,1952-07-06,essarts,http://en.wikipedia.org/wiki/Rouen-Les-Essarts,Rouen-Les-Essarts,49.3306,1.00458,Rouen,France,,,,,,,,,,,
1952,5,http://en.wikipedia.org/wiki/1952_British_Grand_Prix,British Grand Prix,1952-07-19,silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,,,,,,,,,,,
1952,6,http://en.wikipedia.org/wiki/1952_German_Grand_Prix,German Grand Prix,1952-08-03,nurburgring,http://en.wikipedia.org/wiki/N%C3%BCrburgring,Nürburgring,50.3356,6.9475,Nürburg,Germany,,,,,,,,,,,
1952,7,http://en.wikipedia.org/wiki/1952_Dutch_Grand_Prix,Dutch Grand Prix,1952-08-17,zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort,Circuit Park Zandvoort,52.3888,4.54092,Zandvoort,Netherlands,,,,,,,,,,,
1952,8,http://en.wikipedia.org/wiki/1952_Italian_Grand_Prix,Italian Grand Prix,1952-09-07,monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,,,,,,,,,,,
1953,1,http://en.wikipedia.org/wiki/1953_Argentine_Grand_Prix,Argentine Grand Prix,1953-01-18,galvez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez,Autódromo Juan y Oscar Gálvez,-34.6943,-58.4593,Buenos Aires,Argentina,,,,,,,,,,,
1953,2,http://en.wikipedia.org/wiki/1953_Indianapolis_500,Indianapolis 500,1953-05-30,indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,Indianapolis Motor Speedway,39.795,-86.2347,Indianapolis,USA,,,,,,,,,,,
1953,3,http://en.wikipedia.org/wiki/1953_Dutch_Grand_Prix,Dutch Grand Prix,1953-06-07,zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort,Circuit Park Zandvoort,52.3888,4.54092,Zandvoort,Netherlands,,,,,,,,,,,
1953,4,http://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix,Belgian Grand Prix,1953-06-21,spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,,,,,,,,,,,
1953,5,http://en.wikipedia.org/wiki/1953_French_Grand_Prix,French Grand Prix,1953-07-05,reims,http://en.wikipedia.org/wiki/Reims-Gueux,Reims-Gueux,49.2542,3.93083,Reims,France,,,,,,,,,,,
1953,6,http://en.wikipedia.org/wiki/1953_British_Grand_Prix,British Grand Prix,1953-07-18,silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,,,,,,,,,,,
1953,7,http://en.wikipedia.org/wiki/1953_German_Grand_Prix,German Grand Prix,1953-08-02,nurburgring,http://en.wikipedia.org/wiki/N%C3%BCrburgring,Nürburgring,50.3356,6.9475,Nürburg,Germany,,,,,,,,,,,
1953,8,http://en.wikipedia.org/wiki/1953_Swiss_Grand_Prix,Swiss Grand Prix,1953-08-23,bremgarten,http://en.wikipedia.org/wiki/Circuit_Bremgarten,Circuit Bremgarten,46.9589,7.40194,Bern,Switzerland,,,,,,,,,,,
